Country,Alpha-2,Alpha-3,Continent,Anthem
Czechia,CZ,CZE,Europe,"Where my home is, where my home is, Water roars across the meadows, Pinewoods rustle among rocks, The orchard is glorious with spring blossom, Paradise on earth it is to see. And this is that beautiful land, The Czech land, my home, The Czech land, my home!"
Denmark,DK,DNK,Europe,"There is a lovely country it stands with broad beech-trees, near the salty eastern shore It bends itself in hill, valley, its name is old Denmark and it is the hall of Freya. There sat in former times, the armour-suited warriors, rested from conflict Then they went forward to the enemies' injury, now their bones are resting behind the mound's menhir. That country is still lovely, because the sea waves so blue frolic, and the foliage stands so green And noble women, beautiful maidens, and men and brisk swains inhabit the Danes' islands. Hail king and fatherland! Hail every honourable citizen, who works, what he can Our old Denmark shall endure, as long as the beech-tree mirrors its top in the blue wave!"
Estonia,EE,EST,Europe,"My fatherland, my joy and happiness, How beautiful you are! I shall not find such ever In this huge wide world Which would be so dear to me As you, my fatherland! You have given me birth And raised me up; I shall thank you always And remain faithful to you until death, To me most beloved are you, My precious fatherland! May God watch over you, My precious fatherland! Let Him be your defender And provide bountiful blessings For whatever you undertake, My precious fatherland!"
Finland,FI,FIN,Europe,"O our land Finland, our land of birth, sound, the golden word! There's no valley, no hill no water, shore more precious than this northern homeland the dear land of our fathers! Our land is poor, so it remains, if you long for gold A stranger sure abandons it, but to us, the most precious land is this, its wilds, islands, mainlands, to us, they are golden. They are dear to us our rapids with their surges the hummings of eternal pines our starnights, the summers bright all that with their pictures and songs closed to heart. Here with ploughs, swords, thoughts our fathers fought, when the day hid in the clouds or shone with shines of happiness here the nation of Finland, the most difficult troubles they experienced. This nation's battles who can tell them, who? When a war sounded in our valleys, and frost brought the pain of hunger, who measured the blood and its sufferings? Here has its blood flown for our sake, too here has it enjoyed its happiness and sighed its worries that nation, to which the most ancient burden of ours was given. Here we have a feeling excellent and everything favourable, although be it whatever luck land fatherland is what we have. What's sweeter in the world and what's more precious? And here is this land, our eyes see it. We can reach out a hand and point at water, shore and say: see, there's our father's dearest land. If we were accompanied to glory even to golden clouds, where we wouldn't cry but most important joy the soul would get, to this poor home our will would be. The homeland of truth and poet the land with a thousand lakes where our life gets protection, you the land of memories and hopes, always be, content with your luck, free and joyful. Your prosperity from its hide shall break out once yet our love it shall rise your hope, joy in its brilliance, and once, your song, the land of birth shall get the highest echo."
France,FR,FRA,Europe,"Arise, children of the Fatherland, The day of glory has arrived! Against us, tyranny's Bloody standard is raised, Do you hear, in the countryside, The roar of those ferocious soldiers? They're coming right into your arms To cut the throats of your sons, your women! To arms, citizens, Form your battalions, Let's march, let's march! Let an impure blood Water our furrows! What does this horde of slaves, Of traitors and conspiring kings want? For whom have these vile chains, These irons, been long prepared? Frenchmen, for us, ah! What outrage What furious action it must arouse! It is to us they dare plan A return to the old slavery! To arms, citizens ... What! Foreign cohorts Would make the law in our homes! What! These mercenary phalanxes Would strike down our proud warriors! Great God! By chained hands Our brows would yield under the yoke! Vile despots would themselves become The masters of our destinies! To arms, citizens ... Tremble, tyrants and you traitors The shame of all parties, Tremble! Your parricidal schemes Will finally receive their prize! Everyone is a soldier to combat you, If they fall, our young heroes, Will be produced anew from the ground, Ready to fight against you! To arms, citizens ... Frenchmen, as magnanimous warriors, Bear or hold back your blows! Spare those sorry victims, For regretfully arming against us. But these bloodthirsty despots, These accomplices of BouillÃƒÂ©, All these tigers who mercilessly Tear apart their mother's breast! To arms, citizens ... Sacred love of the Fatherland, Lead, support our avenging arms Liberty, cherished Liberty, Fight with thy defenders! Under our flags may victory Hurry to thy manly accents, So that thy expiring enemies See thy triumph and our glory! To arms, citizens ... We shall enter the military career When our elders are no longer there, There we shall find their dust And the trace of their virtues Much less keen to survive them Than to share their coffins, We shall have the sublime pride To avenge or follow them. To arms, citizens ... "
Georgia,GE,GEO,Europe,"My icon is my motherland, And the whole world is its icon-stand, Bright mounts and valleys Are shared with God. Today our freedom Sings to the glory of the future, The dawn star rises up And shines out between the two seas, So praise be to freedom, To freedom be praise!"
Germany,DE,DEU,Europe,"Germany, Germany above all, Above all in the world, When, for protection and defense, It always stands brotherly together. From the Meuse to the Memel, From the Adige to the Belt, Germany, Germany above all, Above all in the world! German women, German loyalty, German wine and German song, Shall retain in the world Their old beautiful chime And inspire us to noble deeds During all of our life. German women, German loyalty, German wine and German song! Unity and justice and freedom For the German fatherland! Towards these let us all strive Brotherly with heart and hand! Unity and justice and freedom Are the safeguards of fortune; Flourish in the radiance of this fortune, Flourish, German fatherland! "
Greece,GR,GRC,Europe,"We knew thee of old, O, divinely restored, By the lights of thine eyes, And the light of thy Sword. From the graves of our slain, Shall thy valor prevail, as we greet thee again, Hail, Liberty! Hail!"
Hungary,HU,HUN,Europe,"O Lord, bless the nation of Hungary With your grace and bounty Extend over it your guarding arm During strife with its enemies Long torn by ill fate Bring upon it a time of relief This nation has suffered for all sins Of the past and of the future! You brought our ancestors up Over the Carpathians' holy peaks By You was won a beautiful homeland For Bendeguz's sons And wherever flow the rivers of The Tisza and the Danube ÃƒÂrpÃƒÂ¡d our hero's descendants Will root and bloom For us on the plains of the Kuns You ripened the wheat In the grape fields of Tokaj You dripped sweet nectar Our flag you often planted On the wild Turk's earthworks And under MÃƒÂ¡tyÃƒÂ¡s' grave army whimpered Vienna's ""proud fort."" Ah, but for our sins Anger gathered in Your bosom And You struck with Your lightning From Your thundering clouds Now the plundering Mongols' arrows You swarmed over us Then the Turks' slave yoke We took upon our shoulders. How often came from the mouths Of Osman's barbarian nation Over the corpses of our defeated army A victory song! How often did your own son agress My homeland, upon your breast, And you became because of your own sons Your own sons' funeral urn! The fugitive hid, and towards him The sword reached into his cave Looking everywhere he could not find His home in his homeland Climbs the mountain, descends the valley Sadness and despair his companions Sea of blood beneath his feet Ocean of flame above. Castle stood, now a heap of stones Happiness and joy fluttered, Groans of death, weeping Now sound in their place. And Ah! Freedom does not bloom From the blood of the dead, Torturous slavery's tears fall From the burning eyes of the orphans! Pity, O Lord, the Hungarians Who are tossed by waves of danger Extend over it your guarding arm On the sea of its misery Long torn by ill fate Bring upon it a time of relief They who have suffered for all sins Of the past and of the future! https://lyricstranslate.com"
Iceland,IS,ISL,Europe,"Our country's God! Our country's God! We worship Thy name in its wonder sublime. The suns of the heavens are set in Thy crown By Thy legions, the ages of time! With Thee is each day as a thousand years, Each thousand of years, but a day, Eternity's flow'r, with its homage of tears, That reverently passes away. Iceland's thousand years, Iceland's thousand years! Eternity's flow'r, with its homage of tears, That reverently passes away. Our God, our God, we bow to Thee, Our spirits most fervent we place in thy care. Lord, God of our fathers from age unto age, We are breathing our holiest prayer. We pray and we thank Thee a thousand years For safely protected we stand; We pray and we bring Thee our homage of tears Our destiny rest in Thy hand. IcelandÃ¢â‚¬â„¢s thousand years, Iceland's thousand years! The hoarfrost of morning which tinted those years, Thy sun rising high, shall command! Our countryÃ¢â‚¬â„¢s God! Our countryÃ¢â‚¬â„¢s God! Our life is a feeble and quivering reed; We perish, deprived of Thy spirit and light To redeem and uphold in our need. Inspire us at morn with Thy courage and love, And lead through the days of our strife! At evening send peace from Thy heaven above, And safeguard our nation through life. IcelandÃ¢â‚¬â„¢s thousand years, Iceland's thousand years! O, prosper our people, diminish our tears And guide, in Thy wisdom, through life!"
Ireland,IE,IRL,Europe,"We'll sing a song, a soldier's song With cheering, rousing chorus As round our blazing fires we throng The starry heavens o'er us Impatient for the coming fight And as we wait the morning's light Here in the silence of the night We'll chant a soldier's song Soldiers are we, whose lives are pledged to Ireland, Some have come from a land beyond the wave, Sworn to be free, no more our ancient sireland, Shall shelter the despot or the slave. Tonight we man the gap of danger, In Erin's cause, come woe or weal, 'Mid cannons' roar and rifles' peal, We'll chant a soldier's song. In valley green, or towering crag Our fathers fought before us And conquered 'neath the same old flag That's proudly floating o'er us We're children of a fighting race That never yet has known disgrace And as we march, the foe to face We'll chant a soldier's song Soldiers are we, whose lives are pledged to Ireland, Some have come from a land beyond the wave, Sworn to be free, no more our ancient sireland, Shall shelter the despot or the slave. Tonight we man the gap of danger, In Erin's cause, come woe or weal, 'Mid cannons' roar and rifles' peal, We'll chant a soldier's song. Sons of the Gael! Men of the Pale! The long-watched day is breaking The serried ranks of Innisfail Shall set the tyrant quaking Our camp fires now are burning low See in the east a silv'ry glow Out yonder waits the Saxon foe So chant a soldier's song "
Italy,IT,ITA,Europe,"Brothers of Italy, Italy has woken, bound Scipio's helmet Upon her head. Where is Victory? Let her bow down, Because slave of Rome God created her. Let us join in a cohort, we are ready to die. We are ready to die, Italy has called. Let us join in a cohort, We are ready to die. We are ready to die, Italy has called! Yes!"
Latvia,LV,LVA,Europe,"God, bless Latvia! Our beloved fatherland, Bless Latvia, Oh bless it, yet again! Where Latvian daughters bloom, Where Latvian sons sing, Let us dance for joy there, In our Latvia!"
Liechtenstein,LI,LIE,Europe,"High on the German Rhine Lies Liechtenstein, resting On Alpine heights. This beloved homeland Within the German fatherland Was chosen for us By God's wise hand."
Lithuania,LT,LTU,Europe,"Lithuania, our dear homeland, Land of worthy heroes! May your sons draw strength From your past experiences. May your children always Choose the paths of virtue, May they work towards your good, And that of all people. May the sun of Lithuania Disperse darkness, And light, and truth, May guide our steps. May love of Lithuania Burn in our hearts, In the name of Lithuania, Unity may blossom!"
Luxembourg,LU,LUX,Europe,"Where the Alzette flows through the meadows The Sauer breaks its way through the rocks; Where the vines amply grow along the Moselle, the sky makes wine for us That is our country for which we give down here we would risk everything; Our homeland so deeply we carry in our hearts. In its crown of dark wood always guarded by peace, Without pomp and costly shine Cozy it cutely smiles. Its people can claim happiness There are no hollow dreams: If you live in such a home, How good it is to be at Home. Sing, sing, through mountain and valley The earth that bore us, That love loyally echoes Borne in each breast. For our homeland, no melody is too beautiful Every word that is uttered Shakes the soul like a thunderclap And our eyes shine like fire. O Thou above whose hand is Leading the nations of the world; Protect this land of Luxembourg From foreign yoke and pain You have given us already in our youth The sense of liberty. Let the sunlight of freedom shine that we have seen for such a long time."
Malta,MT,MLT,Europe,"Guard, Lord, forever, as you've done erst and ceasing never, This land whose name we received, our motherly-named Mother. Her you have draped with a light whose grace exceeds all other. On those who govern, sovereign God, bestow understanding, Grant wellness to those who work, largesse to those employing, Make firm, make just all our bonds, the peace we are enjoying."
Moldova (the Republic of),MD,MDA,Europe,"A treasure is our language that surges From deep shadows of the past, Chain of precious stones that scattered All over our ancient land. A burning flame is our language Amidst a people waking From a deathly sleep, no warning, Like the brave man of the stories. Our language is the greenest leaf Of the everlasting codrii, Gentle river Dniester's ripples Hiding starlight bright and shining. Our language is more than holy, Words of homilies of old Wept and sung perpetually In the homesteads of our folks. A treasure will spring up swiftly From deep shadows of the past, Chain of precious stones that scattered All over our ancient land."
Montenegro,ME,MNE,Europe,"Oh, bright dawn of May. Our mother Montenegro. We are sons of your rocks And keepers of your honesty We love you, the rocky hills And your awesome gorges That never came to know The chains of shameful slavery. Our mother Montenegro! Oh, bright dawn of May. Our mother Montenegro. While our unity gives wings to our LovÃ„â€¡en cause, Proud shall be, celebrated will be Our dear homeland. A river of our waves, Jumping into two seas, Will bear voice to the ocean, May eternal be our Montenegro! Will bear voice to the ocean, May eternal be our Montenegro!"
Netherlands (the),NL,NLD,Europe,"A new Christian song made in the honour of the most noble lord, lord William Prince of Orange, count of Nassau, Father of the Nation, my merciful prince and lord. A song of which the first capital letter of each stanza form the name of his merciful prince. To the melody of Chartres."
Norway,NO,NOR,Europe,"Yes, we love with fond devotion This our land that looms Rugged, storm-scarred o'er the ocean With her thousand homes. Love her, in our love recalling Those who gave us birth. And old tales which night, in falling, Brings as dreams to earth. Norseman, whatsoe'er thy station, Thank thy God whose power willed and wrought the land's salvation In her darkest hour. All our mothers sought with weeping And our sires in fight, God has fashioned in His keeping Till we gained our right. Yes, we love with fond devotion This our land that looms Rugged, storm-scarred o'er the ocean With her thousand homes. And, as warrior sires have made her Wealth and fame increase, At the call we too will aid her Armed to guard her peace."
Poland,PL,POL,Europe,"Poland has not yet died, So long as we still live. What the foreign power has seized from us, We shall recapture with a sabre. March, march, Dabrowski, To Poland from the Italian land. Under your command We shall rejoin the nation. We'll cross the Vistula, we'll cross the Warta, We shall be Polish. Bonaparte has given us the example Of how we should prevail. Like Czarniecki to PoznaÃ…â€ž Returned across the sea To save his homeland After the Swedish partition. The German nor the Muscovite will settle When, with a backsword in hand, ""Concord"" will be everybody's watchword And so will be our fatherland. A father, in tears, Says to his Basia Listen, our boys are said To be beating the tarabans. All exclaim in unison, ""Enough of this captivity!"" We've got the scythes of RacÃ…â€šawice, KoÃ…â€ºciuszko, if God wills."
Portugal,PT,PRT,Europe,"Heroes of the sea, noble people, Valiant and immortal nation, Raise once again today The splendor of Portugal! Among the haze of memory, Oh Fatherland, one feels the voice Of your distinguished forefathers, That shall lead you on to victory! To arms, to arms! Over land, over sea, To arms, to arms! For the Fatherland, fight! Against the cannons, march on, march on! Hoist the undefeated flag, In the lively light of your sky! May Europe cry out to the whole Earth: Portugal has not perished Kiss your merry ground The ocean, roaring with love, And your victorious arm Gave new worlds to the world! Salute the Sun that rises Over a gleeful future; Let the echo of an offense Be the sign for a comeback. Rays of this strong dawn Are like a mother's kisses, That keep us, sustain us, Against the injuries of fate."
Republic of North Macedonia,MK,MKD,Europe,"Today over Macedonia is born the new sun of liberty. The Macedonians fight for their own rights! Do not cry, dear mother Macedonia, Raise your head proudly high, Old, young, men, and women, have risen to their feet! Now once again the flag flutters, that of the KruÃ…Â¡evo Republic Gotse Delchev, Pitu Guli Dame Gruev, Sandanski! The Macedonian woods resoundly sing new songs and news! Macedonia liberated lives in liberty!"
Romania,RO,ROU,Europe,"Awaken thee, Romanian, wake up from deadly slumber The scourge of inauspicious barbarian tyrannies And now or never to a bright horizon clamber That shall to shame put all your enemies. ItÃ¢â‚¬â„¢s now or never that we prove to the world That in these veins still flows Roman blood And in our hearts for ever we glorify a name Triumphant in battles, the name of Trajan. Behold, imperial shadows, Michael, Stephen, Corvinus At the Romanian nation, your mighty progeny With arms like steel and hearts of fire impetuous Ã¢â‚¬Å“Live in liberty, or dieÃ¢â‚¬Â that's what they all decree. Priests, raise the cross, as this army is Christian Give it liberty and it's sanctified scope WeÃ¢â‚¬â„¢d rather die in battle, with honorary glory Than live again enslaved on our ancestral land."
Russian Federation (the),RU,RUS,Europe,"Russia Ã¢â‚¬â€œ our holy nation Russia Ã¢â‚¬â€œ our beloved country. A mighty will, great glory Ã¢â‚¬â€œ These are yours for all time! Be glorious, our free Fatherland, Age-old union of fraternal peoples, Popular wisdom given by our forebears! Be glorious, our country! We are proud of you! From the southern seas to the polar lands Spread our forests and fields. You are unique in the world, one of a kind Ã¢â‚¬â€œ Native land protected by God! Wide spaces for dreams and for living Are opened for us by the coming years Our loyalty to our Fatherland gives us strength. Thus it was, thus it is and always will be!"
Serbia,RS,SRB,Europe,"od of Justice; Thou who saved us when in deepest bondage cast, Hear Thy Serbian children's voices, Be our help as in the past. With Thy mighty hand sustain us, Still our rugged pathway trace; God, our hope; protect and cherish, Serbian lands and Serbian race! Bind in closest links our kindred Teach the love that will not fail, May the loathed fiend of discord Never in our ranks prevail. Let the golden fruits of union Our young tree of freedom grace; God, our Master! Guide and prosper, Serbian lands and Serbian race! Lord! Avert from us Thy vengeance, Thunder of Thy dreaded ire; Bless each Serbian town and hamlet, Mountain, meadow, heart and spire! When our host goes forth to battle Death or victory to embrace God of armies! Be our leader, Strengthen then the Serbian race! On our sepulchre of ages Breaks the resurrection morn, From the slough of direst slavery Serbia anew is born. Through five hundred years of durance We have knelt before Thy face, All our kin, O God! Deliver, Thus entreats the Serbian race!"
Slovakia,SK,SVK,Europe,"There is lightning over the Tatras1 Thunders loudly sound Let us stop them, brothers After all they will disappear The Slovaks will revive That Slovakia of ours Had been sleeping by now But the thunder's lightnings Are rousing the land To wake it up"
Slovenia,SI,SVN,Europe,"God's blessing on all nations Who long and work for that bright day When o'er earth's habitations No war, no strife shall hold its sway Who long to see That all men free No more shall foes, but neighbours be!"
Spain,ES,ESP,Europe,"Flag of Spain Glory, glory, crown of the Fatherland sovereign light which in your standard is gold. Life, life, future of the Fatherland, in your eyes it is an open heart Purple and gold: immortal flag; in your colors, together, flesh and soul are. Purple and gold: to want and to achieve; You are, flag, the sign of human effort. Glory, glory, crown of the Fatherland sovereign light which in your standard is gold. Purple and gold: immortal flag; in your colors, together, flesh and soul are. Spain guiding Ask of us, Spain! Your name we will take anywhere you want; because honoring it is our law! Command us, Spain, and united we will fight, so that you may live, relentless people and king! You give us a glorious flag; Nobody, who is alive, Spain, will take it from us! So that, one day, we can be covered by it, Give us, Spain, the joy of dying for you! Long live Spain! Long live Spain! The cry of the Fatherland, the triumphant explosion Has opened the way to the sun; Long live Spain! repeated twenty peoples and when they speak they have faith in the Spanish will Mark plow hammer and bugle your noble rhythm at the cry of the Fatherland faith! Guide the mind and the hand until the end, the ""Long Live Spain"" Spain attends all standing!"
Sweden,SE,SWE,Europe,"You ancient, you free, you mountainous north You quiet, you joyfully beauty! I greet you, loveliest land upon Earth, Your sun, your sky, your green climes. You throne on memories of great olden days, When honoured your name flew across the Earth, I know that you are and will become what you were, Yes, I want to live, I want to die in the North. I always will serve you my beloved land, your fidelity to death I will swear. Your right, I shall defend, with mind and with hand, your banner, high with feats it carries. With God I shall fight, for home and for hearth, for Sweden, the beloved homeland Exchange you, I won't for anything in this world No, I want live, I want to die in the North"
Switzerland,CH,CHE,Europe,"When the morning skies grow red, and over us their radiance shed Thou, O Lord, appeareth in their light when the alps glow bright with splendor, pray to God, to Him surrender for you feel and understand that He dwelleth in this land. In the sunset Thou art night and beyond the starry sky Thou, O loving father, ever near, when to Heaven we are departing joy and bliss Thou'lt be imparting for we feel and understand that Thou dwellest in this land. When dark clouds enshroud the hills and gray mist the valley fills yet Thou art not hidden from thy sons pierce the gloom in which we cower with Thy sunshine's cleansing power then we'll feel and understand that God dwelleth in this land"
Ukraine,UA,UKR,Europe,"Ukraine's glory, Ukraine's freedom did not disappear, Fate will smile on us Ukrainians, our skies will be clear. Our enemies will vanish like a sun-dried foam, We will be the only masters in our dear home. We will give our souls and bodies for our freedom And will show that we are, brothers, in the Cossack breed born!"
United Kingdom of Great Britain and Northern Ireland (the),GB,GBR,Europe,"God Save the Queen God save our gracious Queen, Long live our noble Queen, God save the Queen; Send her victorious, Happy and glorious, Long to reign over us, God save the Queen. Oh Lord our God arise, Scatter our enemies, And make them fall Confound their politics Frustrate their knavish tricks, On Thee our hopes we fix Oh save us all Thy choicest gifts in store On her be pleased to pour; Long may she reign; May she defend our laws And ever give us cause To sing with heart and voice God save the Queen Not in this land alone, But be God's mercies known, From shore to shore! Lord, make the nations see, That men should brothers be, And form one family, The wide world over. From every latent foe, From the assassins blow, God save the Queen! O'er her Thine arm extend, For Britain's sake defend, Our mother, princess and friend, God save the Queen Lord, grant that Marshall Wade May, by Thy mighty aid, Victory bring. May he sedition hush, And like a torrent rush, Rebellious Scots to crush. God save the Queen"
Argentina,AR,ARG,South_America,"Mortals! Hear the sacred cry: Freedom, freedom, freedom! Hear the noise of broken chains, see noble Equality enthroned. Rises to the heights of the Earth a new and glorious nation, its head crowned with laurels, and at her feet lying a Lion. May the laurels be eternal, the ones we managed to win Let us live crowned with glory or swear to die gloriously From the new Champions their faces Mars himself seems to encourage Greatness nestles in their bodies: at their march they make everything tremble. The dead Inca are shaken, and in their bones the ardour revives which renews their children of the Motherland the ancient splendour. Mountain ranges and walls are felt to resound with horrible din: the whole country is disturbed by cries of revenge, of war and rage. In the fiery tyrants the envy spit the pestipherous bile; their bloody standard they rise provoking the most cruel combat. Don't you see them over Mexico and Quito throwing themselves with tenacious viciousness? And who they cry, bathed in blood, Potosí, Cochabamba and La Paz? Don't you see them over sad Caracas spreading mourning and weeping and death? Don't you see them devouring as wild animals all people who surrender to them? To you it dares, Argentines, the pride of the vile invader; your fields it steps on, retelling so many glories as winner. But the brave ones, that united swore their merry freedom to sustain, to those blood-thirsty tigers bold breasts they will know to oppose. The valiant Argentine to arms runs burning with determination and bravery, the war bugler, as thunder, in the fields of the South resounds. Buenos Ayres opposes, leading the people of the illustrious Union, and with robust arms they tear the arrogant Iberian lion. San José, San Lorenzo, Suipacha, both Piedras, Salta and Tucumán, La Colonia and the same walls of the tyrant in the Banda Oriental. They are eternal signboards they say: here the Argentine arm found triumph, here the fierce oppressor of the Motherland his proud neck bent. Victory to the Argentine warrior covered with its brilliant wings, and embarrassed at this view the tyrant with infamy took to flight. Its flags, its arms surrender as trophies to freedom, and above wings of glory the people rise the worthy throne of their great majesty. From one pole to the other resounds the fame of the sonorous bugler, and of America the name showing they repeat ""Mortals, hear: The United Provinces of the South have now displayed their most honorable throne"". And the free people of the world reply: ""We salute the great people of Argentina!"""
Bolivia,BO,BOL,South_America,"Bolivians: favourable destiny Crowned our votes and desires It is now free, this land is now free And now its servile condition has ended From the military uproar that was yesterday And from the cry of the terrible war Today follow, in peaceful contrast Sweet hymns of peace and union Today follow, in peaceful contrast Sweet hymns of peace and union   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!   Eternal praise to the brave warriors Whose heroic courage and determination Won the glories that today Bolivia happily begins to enjoy May their names, in marble and bronze, Be transmitted to future ages And in resounding song repeat: Freedom, freedom, freedom! And in resounding song repeat: Freedom, freedom, freedom!   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves! Here justice set up its throne That does not recognise vile oppression And in its glorious stamp let us rejoice Freedom, freedom, freedom This innocent and beautiful land That has its name because of Bolívar 1 It is the happy homeland where man Enjoys good fortune and peace It is the happy homeland where man Enjoys good fortune and peace   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!   If a foreign power one day Tries to subjugate Bolivia Let it be prepared for the fatal destiny That threatens the arrogant invader Let the sons of the great Bolívar Have sworn a thousand times over: To die before seeing the majestic banner Of the homeland lowered To die before seeing the majestic banner Of the homeland lowered   Of the homeland, the lofty name In glorious splendour may we keep [it] And in its honour let's swear once again: To die before living as slaves! To die before living as slaves! To die before living as slaves!"
